time,position,velocity,torque,position_ref,velocity_ref
7.152557373046875e-07,0.0005752515730996777,0.030212863355458808,-0.00025940337224383825,-0.0,-0.0
0.0021376609802246094,0.0005752515730996777,-0.16314946211947756,-0.00025940337224383825,-0.0,-0.0
0.00402522087097168,0.0005752515730996777,0.03155565728236809,-0.00025940337224383825,-0.0,-0.0
0.005863189697265625,0.0005752515730996777,0.026184481574730967,-0.07496757457846925,-0.0,-0.0
0.0077936649322509766,0.0005752515730996777,-0.008728160524910322,-0.00025940337224383825,-0.0,-0.0
0.009710311889648438,0.0005752515730996777,0.012756542305638163,-0.16575875486381264,-0.0,-0.0
0.011614561080932617,0.0005752515730996777,-0.03692683299000521,-0.015823605706874133,-0.0,-0.0
0.01351618766784668,0.0005752515730996777,0.03692683299000521,-0.00025940337224383825,-0.0,-0.0
0.015617609024047852,0.0005752515730996777,-0.055725947966735134,-0.00025940337224383825,-0.0,-0.0
0.017676830291748047,0.0005752515730996777,0.007385366598001042,-0.00025940337224383825,-0.0,-0.0
0.019746065139770508,0.0005752515730996777,0.0852674143587393,-0.00025940337224383825,-0.0,-0.0
0.021762371063232422,0.0005752515730996777,-0.06378271152819082,-0.11491569390402034,-0.0,-0.0
0.023770570755004883,0.0005752515730996777,-0.04095521477073305,-0.16316472114137426,-0.0,-0.0
0.025693178176879883,0.00019175052436715134,-0.059754329747462975,-0.10661478599221752,-0.0,-0.0
0.027615070343017578,0.0005752515730996777,0.06378271152819082,-0.05888456549935128,-0.0,-0.0
0.029460668563842773,0.0005752515730996777,0.058411535820553695,-0.025680933852139987,-0.0,-0.0
0.03138995170593262,0.0005752515730996777,-0.012756542305638163,-0.04591439688715937,-0.0,-0.0
0.033368587493896484,0.00019175052436715134,-0.15509269855802188,-0.05525291828793755,-0.0,-0.0
0.03526163101196289,0.0005752515730996777,-0.08661020828564858,-0.13255512321660134,-0.0,-0.0
0.03718376159667969,0.0005752515730996777,0.030212863355458808,-0.1600518806744482,-0.0,-0.0
0.039217233657836914,0.00019175052436715134,-0.13092240787365483,-0.00025940337224383825,-0.0,-0.0
0.04128575325012207,0.0005752515730996777,-0.015442130159456724,-0.00025940337224383825,-0.0,-0.0
0.043395042419433594,0.0005752515730996777,0.10809491111619707,-0.00025940337224383825,-0.0,-0.0
0.04533886909484863,0.0005752515730996777,-0.011413748378728883,-0.16627756160830032,-0.0,-0.0
0.0472865104675293,0.0005752515730996777,-0.03961242084382377,-0.07341115434500622,-0.0,-0.0
0.04919290542602539,0.00019175052436715134,-0.03155565728236809,-0.059922178988326635,-0.0,-0.0
0.0511317253112793,0.0005752515730996777,-0.011413748378728883,-0.012710765239948074,-0.0,-0.0
0.053045034408569336,0.00019175052436715134,-0.1537499046311126,-0.009079118028534339,-0.0,-0.0
0.05501914024353027,0.0005752515730996777,0.18329137102311677,-0.18132295719844294,-0.0,-0.0
0.05690455436706543,0.00019175052436715134,-0.1806057831692982,-0.017380025940337163,-0.0,-0.0
0.058991432189941406,0.0005752515730996777,0.11883726253147131,-0.00025940337224383825,-0.0,-0.0
0.06115460395812988,0.0005752515730996777,0.07452506294346506,-0.12217898832684781,-0.0,-0.0
0.06319141387939453,0.0005752515730996777,-0.11749446860456203,-0.00025940337224383825,-0.0,-0.0
0.06518745422363281,0.0005752515730996777,-0.1255512321660177,-0.09260700389105025,-0.0,-0.0
0.06710505485534668,0.00019175052436715134,-0.1470359349965662,-0.1994811932555116,-0.0,-0.0
0.06901931762695312,0.00019175052436715134,-0.12152285038528987,-0.00025940337224383825,-0.0,-0.0
0.07101774215698242,0.0005752515730996777,0.04229800869764233,-0.00025940337224383825,-0.0,-0.0
0.0729362964630127,0.0005752515730996777,0.1336079957274734,-0.00025940337224383825,-0.0,-0.0
0.0749359130859375,0.0005752515730996777,-0.020813305867093845,-0.00025940337224383825,-0.0,-0.0
0.07679629325866699,0.0005752515730996777,-0.03692683299000521,-0.0033722438391698972,-0.0,-0.0
0.07877016067504883,0.0005752515730996777,0.059754329747462975,-0.00025940337224383825,-0.0,-0.0
0.08082699775695801,0.00019175052436715134,-0.0060425726710917615,-0.00025940337224383825,-0.0,-0.0
0.08285021781921387,0.0005752515730996777,0.016784924086366004,-0.00025940337224383825,-0.0,-0.0
0.08493995666503906,0.0005752515730996777,0.03826962691691449,-0.16990920881971405,-0.0,-0.0
0.08693718910217285,0.0005752515730996777,0.06378271152819082,-0.00025940337224383825,-0.0,-0.0
0.08893656730651855,0.0005752515730996777,-0.08123903257801146,-0.01478599221789878,-0.0,-0.0
0.09085583686828613,0.0005752515730996777,0.03558403906309593,-0.14760051880674396,-0.0,-0.0
0.09273910522460938,0.0005752515730996777,-0.007385366598001042,-0.00025940337224383825,-0.0,-0.0
0.09465217590332031,0.00019175052436715134,-0.03826962691691449,-0.2897535667963709,-0.0,-0.0
0.09659290313720703,0.0005752515730996777,-0.03961242084382377,-0.00025940337224383825,-0.0,-0.0
0.09853839874267578,0.0005752515730996777,-0.020813305867093845,-0.26640726329442543,-0.0,-0.0
0.10052251815795898,0.0005752515730996777,0.1336079957274734,-0.00025940337224383825,-0.0,-0.0
0.10259318351745605,0.0005752515730996777,0.008728160524910322,-0.00025940337224383825,-0.0,-0.0
0.1047666072845459,0.0005752515730996777,0.10003814755474139,-0.06251621271076502,-0.0,-0.0
0.10681796073913574,0.0005752515730996777,0.04364080262455161,-0.00025940337224383825,-0.0,-0.0
0.10876297950744629,0.0005752515730996777,0.11615167467765275,-0.027237354085603016,-0.0,-0.0
